date,return_rank_1,return_rank_2,return_rank_3,return_rank_4,return_rank_5,return_rank_6,return_rank_7,return_rank_8,return_rank_9,return_rank_10,return_rank_11,return_rank_12,return_rank_13,return_rank_14,return_rank_15
1/1/2018,0.32%,1.34%,0.52%,1.11%,0.36%,-0.16%,-0.60%,0.49%,0.09%,0.08%,0.40%,-0.04%,0.43%,0.10%,0.48%
2/1/2018,0.27%,2.59%,0.52%,-0.24%,-0.32%,-0.40%,-0.07%,0.01%,-0.19%,-0.21%,-0.70%,-0.05%,-0.25%,-0.17%,-0.08%
3/1/2018,-0.47%,1.06%,0.24%,-0.19%,0.64%,-0.23%,0.43%,-0.14%,-0.02%,-0.10%,0.24%,0.20%,-0.03%,0.10%,-0.28%
4/1/2018,0.36%,0.72%,0.26%,-0.39%,-0.11%,0.18%,0.40%,0.46%,0.25%,0.13%,0.08%,-0.04%,0.39%,0.13%,0.04%
5/1/2018,0.89%,1.25%,0.88%,0.84%,0.87%,0.32%,0.16%,0.01%,-0.11%,-0.21%,-0.24%,-0.02%,0.09%,-0.06%,0.06%
6/1/2018,0.42%,0.22%,-0.23%,2.66%,1.39%,0.16%,0.07%,0.19%,0.53%,0.08%,-0.06%,-0.04%,-0.06%,-0.02%,0.07%
7/1/2018,0.47%,0.07%,-0.28%,0.03%,-0.15%,0.03%,0.16%,-0.06%,0.26%,0.31%,-0.09%,0.11%,0.04%,-0.04%,0.17%
8/1/2018,1.20%,0.77%,0.74%,-0.04%,1.65%,0.51%,-0.84%,0.59%,0.10%,0.39%,0.41%,0.32%,0.27%,0.05%,-0.03%
9/1/2018,0.42%,-0.80%,0.33%,0.21%,-0.48%,0.16%,-0.30%,0.30%,0.33%,0.20%,0.14%,-0.05%,0.09%,0.08%,0.07%
10/1/2018,-0.67%,-1.41%,-0.77%,-0.26%,-0.60%,-0.62%,-0.05%,-0.47%,-0.85%,-1.35%,-0.46%,-0.28%,-0.01%,-0.17%,-0.04%
11/1/2018,1.33%,-0.81%,0.20%,0.15%,0.50%,0.24%,0.17%,0.49%,0.26%,0.10%,-0.19%,0.10%,0.04%,-0.07%,0.22%
12/1/2018,-1.05%,-0.21%,-0.56%,-0.21%,-0.63%,-2.39%,0.27%,-0.10%,-0.32%,-0.64%,-0.69%,-0.15%,-0.14%,-0.77%,0.02%
1/1/2019,0.98%,2.65%,0.82%,0.21%,0.71%,0.75%,0.40%,0.80%,0.12%,0.43%,0.51%,-0.86%,0.41%,0.16%,0.00%
2/1/2019,0.73%,0.15%,0.85%,1.91%,0.07%,0.47%,0.73%,1.10%,0.29%,0.21%,0.08%,0.45%,0.22%,0.13%,0.30%
3/1/2019,-0.29%,0.38%,0.49%,1.08%,-0.42%,0.17%,0.32%,0.04%,0.25%,0.23%,0.13%,0.02%,0.14%,0.11%,0.16%
4/1/2019,0.34%,0.13%,0.74%,0.65%,0.12%,-0.05%,0.38%,0.51%,0.34%,0.23%,0.23%,0.60%,0.31%,0.23%,0.05%
5/1/2019,0.48%,-0.22%,-0.74%,0.06%,-0.22%,0.08%,-0.44%,-0.06%,-0.11%,-0.08%,0.38%,-0.15%,-0.18%,-0.21%,-0.20%
6/1/2019,1.35%,0.36%,1.43%,-0.37%,0.01%,0.26%,0.77%,0.29%,0.29%,0.37%,0.27%,0.03%,0.33%,0.28%,0.27%
7/1/2019,-0.02%,0.59%,0.54%,0.12%,-0.19%,0.07%,0.77%,0.17%,-0.15%,0.14%,0.07%,0.14%,0.44%,0.05%,0.26%
8/1/2019,-0.22%,-0.28%,0.56%,1.36%,-0.73%,0.10%,0.35%,-0.38%,0.19%,0.06%,-0.20%,-0.14%,0.05%,-0.85%,-0.16%
9/1/2019,-0.19%,0.10%,-1.38%,-1.88%,0.34%,-0.20%,0.07%,-0.22%,0.02%,-0.15%,-0.17%,-0.16%,-0.82%,-0.02%,-0.25%
10/1/2019,0.46%,0.83%,0.09%,0.21%,0.14%,-1.03%,0.74%,-0.97%,-0.11%,0.24%,0.14%,0.10%,-0.13%,0.12%,-0.02%
11/1/2019,0.58%,0.48%,1.00%,0.41%,1.60%,0.11%,0.03%,0.10%,-0.17%,0.14%,0.13%,0.13%,0.23%,0.28%,0.02%
12/1/2019,-0.17%,0.36%,0.13%,0.08%,-0.69%,0.39%,0.17%,0.15%,-0.05%,-0.01%,0.06%,0.25%,-0.12%,0.07%,0.07%
1/1/2020,0.21%,0.75%,-0.43%,0.27%,0.62%,0.30%,0.34%,-0.26%,0.54%,0.27%,2.03%,0.04%,0.21%,-0.08%,-0.13%
2/1/2020,-0.42%,-1.01%,-0.52%,-0.56%,-0.77%,-0.28%,-0.32%,0.01%,-0.55%,-0.84%,-0.08%,0.02%,0.06%,-0.05%,-0.24%
3/1/2020,-0.27%,-0.26%,-1.05%,0.15%,-0.14%,-0.66%,-1.61%,-0.40%,-3.13%,-0.98%,-2.66%,-1.01%,-0.03%,-0.28%,0.11%
4/1/2020,1.31%,0.26%,2.17%,1.23%,0.52%,0.41%,0.66%,0.13%,1.22%,0.76%,0.74%,0.75%,0.10%,0.29%,1.20%
5/1/2020,0.75%,0.22%,0.71%,0.65%,0.56%,1.08%,-0.09%,0.53%,0.48%,0.44%,0.81%,0.02%,0.60%,0.70%,0.27%
6/1/2020,0.96%,0.14%,-0.05%,0.21%,0.42%,0.45%,1.16%,-0.24%,-0.66%,0.18%,0.40%,-0.07%,-0.29%,0.51%,0.26%
7/1/2020,0.52%,0.01%,0.75%,0.50%,0.66%,0.33%,0.57%,0.69%,-0.90%,0.04%,0.40%,0.35%,0.08%,0.16%,0.53%
8/1/2020,1.29%,0.76%,0.41%,0.76%,0.43%,0.54%,0.71%,-0.43%,0.22%,0.46%,0.20%,0.39%,0.31%,0.15%,0.49%
9/1/2020,0.20%,-0.33%,-0.15%,-0.26%,0.13%,-0.12%,-0.05%,-0.26%,-0.40%,0.06%,0.00%,0.03%,-0.19%,-0.01%,0.09%
10/1/2020,-0.24%,-0.28%,0.52%,0.00%,-0.17%,-0.07%,-0.36%,-0.46%,0.08%,-0.37%,-0.12%,-0.27%,-0.13%,-0.35%,-0.35%
11/1/2020,1.45%,0.68%,1.05%,0.74%,0.38%,0.36%,0.28%,1.42%,0.51%,0.30%,0.31%,0.28%,0.32%,0.56%,0.63%
12/1/2020,1.08%,1.05%,0.16%,0.49%,0.50%,0.83%,0.37%,0.26%,0.37%,0.31%,0.31%,-0.18%,0.07%,0.14%,0.06%
1/1/2021,-0.07%,0.43%,-0.65%,0.65%,-0.04%,-0.12%,-0.37%,-0.48%,-0.17%,-0.33%,-0.03%,-0.63%,0.68%,-0.29%,-0.30%
2/1/2021,0.28%,2.14%,0.68%,-0.16%,1.42%,-0.47%,0.52%,0.25%,0.17%,-0.03%,-0.10%,1.13%,-0.12%,0.45%,-0.23%
3/1/2021,-0.05%,-0.37%,0.44%,-0.60%,-0.12%,-0.49%,-1.14%,0.27%,-0.28%,-0.58%,-0.21%,-0.09%,-0.30%,-0.75%,0.32%
4/1/2021,1.25%,-0.25%,0.18%,-0.16%,0.32%,-0.45%,0.88%,0.02%,0.27%,0.34%,0.23%,0.35%,0.31%,0.08%,0.18%
5/1/2021,0.89%,0.08%,-0.99%,-0.59%,-1.28%,-0.29%,0.27%,-0.21%,0.10%,-0.02%,-0.30%,-0.89%,-0.14%,-0.79%,-0.28%
6/1/2021,1.19%,-0.28%,1.54%,0.48%,-0.56%,0.51%,0.17%,0.19%,0.30%,0.48%,-0.04%,-0.25%,0.74%,0.49%,0.32%
7/1/2021,1.77%,0.95%,-0.10%,-0.85%,-0.71%,0.56%,0.16%,0.36%,0.07%,-0.19%,0.27%,-0.06%,-0.04%,-0.16%,0.47%
8/1/2021,0.21%,1.10%,0.09%,0.52%,0.56%,0.53%,-0.60%,0.22%,0.37%,0.01%,0.34%,-0.19%,0.16%,0.24%,0.41%
9/1/2021,-0.44%,0.33%,-0.13%,-0.26%,0.72%,0.37%,0.41%,-0.63%,-0.39%,-0.49%,-0.45%,-0.21%,-0.14%,-0.07%,0.44%
10/1/2021,-0.23%,0.80%,1.29%,0.01%,0.75%,0.47%,0.25%,0.12%,0.51%,-0.45%,0.45%,0.51%,-0.43%,0.08%,0.02%
11/1/2021,-0.79%,0.64%,0.41%,0.51%,0.31%,0.45%,-0.35%,-0.14%,-0.23%,-0.18%,-0.01%,-0.19%,0.09%,-0.41%,0.03%
12/1/2021,0.66%,0.78%,0.74%,-1.54%,0.07%,-0.04%,0.15%,0.04%,-0.05%,0.07%,-0.41%,0.41%,-0.12%,-0.39%,0.30%
1/1/2022,-1.79%,-0.63%,0.09%,-1.04%,-2.00%,-0.64%,-0.67%,-0.32%,-0.38%,-0.08%,-0.15%,-0.26%,-0.59%,-0.83%,-0.84%
2/1/2022,0.28%,0.53%,0.84%,-0.85%,-0.22%,-0.42%,-0.40%,-0.17%,0.07%,-0.02%,0.00%,-0.06%,0.49%,0.14%,0.09%
3/1/2022,0.46%,0.10%,-0.29%,0.11%,-0.92%,-1.10%,0.75%,0.57%,0.14%,-0.12%,0.12%,-0.05%,-0.38%,-0.08%,0.05%
4/1/2022,-1.03%,-0.82%,1.26%,-0.68%,-0.15%,-0.95%,-0.51%,-0.74%,-0.37%,-0.58%,-0.05%,-0.42%,0.05%,-0.46%,-1.24%
5/1/2022,-0.38%,-0.56%,-0.09%,-0.68%,-0.38%,-0.12%,-2.95%,0.32%,-0.09%,-0.39%,0.06%,-0.43%,-0.32%,-0.72%,-0.16%
6/1/2022,-0.75%,-0.95%,-0.01%,-0.33%,-0.26%,0.24%,-0.31%,-0.15%,-0.68%,-0.63%,-0.46%,0.11%,-0.56%,-0.81%,-0.07%
7/1/2022,1.01%,1.48%,1.02%,0.58%,0.79%,0.42%,-0.38%,0.80%,0.39%,0.82%,0.01%,1.37%,0.07%,0.22%,0.07%
8/1/2022,0.18%,-0.31%,-0.46%,1.47%,-0.94%,-0.58%,-0.57%,0.26%,0.05%,-0.12%,-0.45%,-0.07%,-0.07%,-0.29%,-0.44%
9/1/2022,-0.32%,-0.27%,-1.12%,0.02%,-0.79%,-1.18%,-0.14%,-0.51%,-0.41%,-0.26%,-0.74%,-0.44%,-0.62%,-0.08%,-0.25%
10/1/2022,0.57%,0.54%,0.67%,1.02%,-0.92%,0.24%,-0.62%,0.28%,0.08%,-0.18%,0.07%,0.12%,-0.02%,-0.05%,0.01%
11/1/2022,1.23%,0.05%,0.04%,1.15%,0.09%,0.11%,0.31%,0.41%,-0.42%,0.15%,-0.27%,0.20%,1.36%,-0.29%,-0.49%
12/1/2022,-0.25%,0.42%,-0.06%,-0.44%,0.76%,-0.07%,-0.34%,-0.27%,-0.14%,-0.33%,-0.08%,0.05%,-0.05%,-0.16%,-0.03%
